Package                     Current    Wanted         Latest  Location                                Depended by
@staratlas/data-source        0.7.7     0.7.7          0.9.0  node_modules/@staratlas/data-source     sae-main
@staratlas/player-profile     0.7.3     0.7.3         0.11.0  node_modules/@staratlas/player-profile  sae-main
@staratlas/sage              1.8.10    1.8.10  1.9.0-alpha.9  node_modules/@staratlas/sage            sae-main
@types/express              4.17.25   4.17.25          5.0.6  node_modules/@types/express             sae-main
@types/node                20.19.25  20.19.27         25.0.3  node_modules/@types/node                sae-main
bs58                          5.0.0     5.0.0          6.0.0  node_modules/bs58                       sae-main
express                      4.21.2    4.22.1          5.2.1  node_modules/express                    sae-main
node-fetch                    2.7.0     2.7.0          3.3.2  node_modules/node-fetch                 sae-main
